row_type,scope_type,scope_value,method_id,reference_method_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,resulting_element_snr_median_db,resulting_element_snr_min_db,resulting_element_snr_max_db,realized_white_snr_median_db,realized_white_snr_p90_db,comparison_id,paired_count,wins,ties,losses
METHOD,ALL,ALL,CORE_LITE,,72,72,1,0.428686012383612,0.605528530910299,0.316227766016838,0.53851648071345,44.9999999999999,88.1565051177077,0.147213595499957,0.692462112512354,0.999999999999997,4.29386192192103,0.23123933623853,0.722683921178893,0,0,160.819444444444,369.875,0.1487071,0.1854219,-22.0329332039119,-29.0947966576344,-15.4197195094785,0.0407629610250471,6.27154273568073,,0,0,0,0
METHOD,ALL,ALL,CORE_PLUS,,72,72,1,0.41359599626925,0.628607179517977,0.320643583683808,0.618465843842649,32.7563432465517,72.2255885997802,0.152634939985038,0.448571360681052,0.991796048051166,2.78881694910931,0.218176516910497,0.452931767772601,0.694444444444444,0.305555555555556,1632.40277777778,3314.59722222222,1.15870895,1.97426614,-22.0329332039119,-29.0947966576344,-15.4197195094785,0.0407629610250471,6.27154273568073,,0,0,0,0
METHOD,ALL,ALL,TANGENT_PROFILE_SAFE,,72,72,1,0.367575205059445,0.589023807097734,0.3,0.53851648071345,29.2742945634878,72.4039616771971,0.148999999999999,0.62160173171117,0.991666666666673,3.47213595499959,0.212478672477061,0.630925707582846,0.361111111111111,0.638888888888889,397.986111111111,870.208333333333,4.51798435,4.56990122,-22.0329332039119,-29.0947966576344,-15.4197195094785,0.0407629610250471,6.27154273568073,,0,0,0,0
PAIRWISE,ALL,ALL,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,72,21,46,5
PAIRWISE,ALL,ALL,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,72,37,15,20
METHOD,SNR,-6,CORE_LITE,,24,24,1,0.524245295483454,0.625186263745669,0.5,0.615408966598801,35.782525588539,84.4695153531234,0.165028153987288,0.384164078649988,1.11803398874989,3.47213595499959,0.212478672477061,0.4,0,0,157,363,0.1454483,0.18043434,-28.0298285000639,-29.0947966576344,-27.419636189126,-5.63621013626265,-5.16485395227239,,0,0,0,0
METHOD,SNR,-6,CORE_PLUS,,24,24,1,0.523902585866972,0.635682795325745,0.473606797749979,0.620237159793564,22.5,72.0788025058464,0.167741861006608,0.338442821350775,0.945442591437466,2.90138678414827,0.207012259487329,0.38612844464697,0.625,0.375,1435.95833333333,2922.58333333333,0.89305525,1.91475028,-28.0298285000639,-29.0947966576344,-27.419636189126,-5.63621013626265,-5.16485395227239,,0,0,0,0
METHOD,SNR,-6,TANGENT_PROFILE_SAFE,,24,24,1,0.508783244312557,0.625186263745669,0.473606797749979,0.615408966598801,22.5000000000001,84.7491521864964,0.147213595499957,0.384164078649988,0.942809041582067,3.06616537543846,0.212478672477061,0.4,0.125,0.875,356.583333333333,788.166666666667,4.45210155,4.53532184,-28.0298285000639,-29.0947966576344,-27.419636189126,-5.63621013626265,-5.16485395227239,,0,0,0,0
PAIRWISE,SNR,-6,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,24,2,21,1
PAIRWISE,SNR,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,24,6,8,10
