trial_id,global_trial_index,truth_K,support_or_difficulty,noise,L,SNR,noise_seed,element_trial_hash,method_id,fit_valid,fit_status,solver_status,selected_start_id,start_count,valid_start_count,initial_angles,final_angles,estimate_target1_az_deg,estimate_target1_el_deg,estimate_target2_az_deg,estimate_target2_el_deg,known_K_joint_RMSE,known_K_azimuth_RMSE,known_K_elevation_RMSE,known_K_separation_vector_error,initial_known_K_joint_RMSE,refinement_improved_flag,RSS,loglik,effective_rank,score_calls,SVD_calls,runtime_sec,monotonicity_violation_count,truth_used_in_initialization_flag,truth_used_in_fit_flag,shared_element_data_flag,solver_contract_hash,selected_candidate_method_id,continuous_candidate_method_id,selected_source,continuous_upgrade_flag,fallback_flag,selection_truth_used_flag,selection_rule,B0_candidate_loglik,continuous_candidate_loglik,B0_candidate_score_calls,B0_candidate_SVD_calls,B0_candidate_runtime_sec,continuous_candidate_score_calls,continuous_candidate_SVD_calls,continuous_candidate_runtime_sec,conservative_upper_bound_score_calls,conservative_upper_bound_SVD_calls,conservative_upper_bound_runtime_sec,cost_accounting_note
R1_K1_N1_L8_SM6_INSIDE_OFF_GRID,6,1,INSIDE_OFF_GRID,WHITE,8,-6,2726072802,7a3e6c4626b3f5513794e0658fd7701642be294fb34a81d9cc8f77876a813d30,H1_DIRECT_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B1_K1_CONVENTIONAL_SINGLETON_PEAK,1,1,[8.1999999999999993 10.199999999999999],[8.1093262379982836 10.100515135556664],8.10932623799828,10.1005151355567,NaN,NaN,0.0093404539419867,0.00932623799828391,0.000515135556664603,NaN,0.141421356237309,1,98.6749950629919,-233.888365749989,1,189,397,0.2091368,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B1_DIRECT_CONTINUOUS_KNOWN_K,B1_DIRECT_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-269.931824124588,-233.888365749989,91,206,0.1702821,189,397,0.2091368,280,603,0.3794189,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N1_L8_SM6_INSIDE_OFF_GRID,6,1,INSIDE_OFF_GRID,WHITE,8,-6,2726072802,7a3e6c4626b3f5513794e0658fd7701642be294fb34a81d9cc8f77876a813d30,H2_GROUPED_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B2_K1_GROUPED_Q1_KQ1,1,1,[8.1999999999999993 10.199999999999999],[8.1093262379982836 10.100515135556664],8.10932623799828,10.1005151355567,NaN,NaN,0.0093404539419867,0.00932623799828391,0.000515135556664603,NaN,0.141421356237309,1,98.6749950629919,-233.888365749989,1,189,397,0.212571,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B2_GROUPED_CONTINUOUS_KNOWN_K,B2_GROUPED_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-269.931824124588,-233.888365749989,91,206,0.1702821,189,397,0.212571,280,603,0.3828531,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N1_L8_SP6_ON_GRID,7,1,ON_GRID,WHITE,8,6,2726072803,c27f7a0fa318422a31dd93fc0a110e1ceb6838df913763de250852ed3cb23742,H1_DIRECT_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B1_K1_CONVENTIONAL_SINGLETON_PEAK,1,1,[8 10],[7.9972303376686051 9.9914309347661749],7.99723033766861,9.99143093476617,NaN,NaN,0.00900554875682192,0.00276966233139486,0.00856906523382506,NaN,0,0,101.46558174926,-237.234934557207,1,148,315,0.0986866,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B1_DIRECT_CONTINUOUS_KNOWN_K,B1_DIRECT_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-239.432668012072,-237.234934557207,91,206,0.0641594,148,315,0.0986866,239,521,0.162846,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N1_L8_SP6_ON_GRID,7,1,ON_GRID,WHITE,8,6,2726072803,c27f7a0fa318422a31dd93fc0a110e1ceb6838df913763de250852ed3cb23742,H2_GROUPED_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B2_K1_GROUPED_Q1_KQ1,1,1,[8 10],[7.9972303376686051 9.9914309347661749],7.99723033766861,9.99143093476617,NaN,NaN,0.00900554875682192,0.00276966233139486,0.00856906523382506,NaN,0,0,101.46558174926,-237.234934557207,1,148,315,0.1009559,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B2_GROUPED_CONTINUOUS_KNOWN_K,B2_GROUPED_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-239.432668012072,-237.234934557207,91,206,0.0641594,148,315,0.1009559,239,521,0.1651153,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N1_L8_SP6_INSIDE_OFF_GRID,8,1,INSIDE_OFF_GRID,WHITE,8,6,2726072803,76fa611dc34a8cee4e5469d40a368be358fea6a0682a2075a4abd251b2c3af7b,H1_DIRECT_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B1_K1_CONVENTIONAL_SINGLETON_PEAK,1,1,[8 10],[8.0972120965487111 10.092565221769309],8.09721209654871,10.0925652217693,NaN,NaN,0.00794029804184049,0.00278790345128854,0.0074347782306905,NaN,0.141421356237309,1,103.015253652455,-239.053825685442,1,189,397,0.1494757,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B1_DIRECT_CONTINUOUS_KNOWN_K,B1_DIRECT_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-464.199368604457,-239.053825685442,91,206,0.0752837,189,397,0.1494757,280,603,0.2247594,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N1_L8_SP6_INSIDE_OFF_GRID,8,1,INSIDE_OFF_GRID,WHITE,8,6,2726072803,76fa611dc34a8cee4e5469d40a368be358fea6a0682a2075a4abd251b2c3af7b,H2_GROUPED_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B2_K1_GROUPED_Q1_KQ1,1,1,[8 10],[8.0972120965487111 10.092565221769309],8.09721209654871,10.0925652217693,NaN,NaN,0.00794029804184049,0.00278790345128854,0.0074347782306905,NaN,0.141421356237309,1,103.015253652455,-239.053825685442,1,189,397,0.1263726,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B2_GROUPED_CONTINUOUS_KNOWN_K,B2_GROUPED_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-464.199368604457,-239.053825685442,91,206,0.0752837,189,397,0.1263726,280,603,0.2016563,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N2_L1_SM6_ON_GRID,9,1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,4a8773235487b03180fc59d7a7d5b642d00ded159d457b258d367d392992a0b8,H1_DIRECT_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B1_K1_CONVENTIONAL_SINGLETON_PEAK,1,1,[8 10],[8.0237882532664049 9.9159517410384286],8.0237882532664,9.91595174103843,NaN,NaN,0.0873498187058107,0.0237882532664049,0.0840482589615714,NaN,0,0,10.0031347867384,-26.0936731093636,1,188,395,0.1502958,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B1_DIRECT_CONTINUOUS_KNOWN_K,B1_DIRECT_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-28.761105746906,-26.0936731093636,91,206,0.107439,188,395,0.1502958,279,601,0.2577348,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N2_L1_SM6_ON_GRID,9,1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,4a8773235487b03180fc59d7a7d5b642d00ded159d457b258d367d392992a0b8,H2_GROUPED_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B2_K1_GROUPED_Q1_KQ1,1,1,[8 10],[8.0237882532664049 9.9159517410384286],8.0237882532664,9.91595174103843,NaN,NaN,0.0873498187058107,0.0237882532664049,0.0840482589615714,NaN,0,0,10.0031347867384,-26.0936731093636,1,188,395,0.1607518,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B2_GROUPED_CONTINUOUS_KNOWN_K,B2_GROUPED_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-28.761105746906,-26.0936731093636,91,206,0.107439,188,395,0.1607518,279,601,0.2681908,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N2_L1_SM6_INSIDE_OFF_GRID,10,1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,c74726853c5fd61b2e1cc682507136b55af6e60080fcc2ede9a9cfd69c41c8bf,H1_DIRECT_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B1_K1_CONVENTIONAL_SINGLETON_PEAK,1,1,[8.1999999999999993 10],[8.1253915821429548 10.020744298194815],8.12539158214295,10.0207442981948,NaN,NaN,0.0832237869383193,0.0253915821429551,0.0792557018051845,NaN,0.141421356237309,1,10.1268774891432,-26.2780906736411,1,187,393,0.1569793,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B1_DIRECT_CONTINUOUS_KNOWN_K,B1_DIRECT_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-30.6948999453732,-26.2780906736411,91,206,0.1066208,187,393,0.1569793,278,599,0.2636001,DOUBLE_COUNTS_SHARED_INITIALIZATION
R1_K1_N2_L1_SM6_INSIDE_OFF_GRID,10,1,INSIDE_OFF_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,c74726853c5fd61b2e1cc682507136b55af6e60080fcc2ede9a9cfd69c41c8bf,H2_GROUPED_SAFE_HYBRID_KNOWN_K,1,KNOWN_K_FIT_VALID,CONTINUOUS_REFINEMENT_CONVERGED,B2_K1_GROUPED_Q1_KQ1,1,1,[8.1999999999999993 10],[8.1253915821429548 10.020744298194815],8.12539158214295,10.0207442981948,NaN,NaN,0.0832237869383193,0.0253915821429551,0.0792557018051845,NaN,0.141421356237309,1,10.1268774891432,-26.2780906736411,1,187,393,0.1283483,0,0,0,1,51d3767c9d1bec81e7a08f09e3c9eadac455bb6e99ac78c4fb694c83956b4ac2,B2_GROUPED_CONTINUOUS_KNOWN_K,B2_GROUPED_CONTINUOUS_KNOWN_K,CONTINUOUS_UPGRADE,1,0,0,VALID_CONTINUOUS_WITH_LOG_LIKELIHOOD_NOT_BELOW_B0_ELSE_B0,-30.6948999453732,-26.2780906736411,91,206,0.1066208,187,393,0.1283483,278,599,0.2349691,DOUBLE_COUNTS_SHARED_INITIALIZATION
