scenario,data_split,trial_id,method,start_id,domain_hash,iteration,score,rss,max_angle_update_deg,relative_score_change,function_converged,angle_converged,monotonicity_violation_flag,statistical_calibration_status,phase_factor
design_grid_q1_k2_l4,DESIGN,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18776.3504676563,0,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18776.3504676563,0,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18240.8087278252,535.541739831162,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18768.7909197617,7.55954789469615,0.6,0.0289451087292562,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,18776.3504676563,0,0.199999999999999,0.000402772236475644,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,18776.3504676563,0,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18776.3504676563,0,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18776.3504676563,0,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18308.0815878643,0,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18308.0815878643,0,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
