scenario,data_split,trial_id,method,score,rss,normalized_score_gap_to_local_full,success_flag,wrong_local_peak_flag,num_score_eval_total,statistical_calibration_status,domain_hash,phase_factor
validation_both_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,19199.3752441882,17.0251693372593,7.57936914263488e-16,0,0,78,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_both_half_grid,VALIDATION,1,GROUPED_CONDITIONAL_ONLY,19143.3973391789,73.003074346565,0.00291561075802532,1,0,17,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19199.3752441882,17.0251693372593,7.57936914263488e-16,0,0,82,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_both_half_grid,VALIDATION,1,LOCAL_FULL_DML_REFERENCE,19199.3752441882,17.0251693372447,0,0,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_both_half_grid,VALIDATION,1,CONVENTIONAL_DBF,18905.5677216366,310.832691888918,0.0153029730819293,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_fixed_center_bias,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,19366.0267408676,1.02923731321789,0,1,0,43,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_fixed_center_bias,VALIDATION,1,GROUPED_CONDITIONAL_ONLY,19366.0267408676,1.02923731321789,0,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_fixed_center_bias,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19366.0267408676,1.02923731321789,0,1,0,56,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_fixed_center_bias,VALIDATION,1,LOCAL_FULL_DML_REFERENCE,19366.0267408676,1.02923731321789,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
validation_fixed_center_bias,VALIDATION,1,CONVENTIONAL_DBF,19366.0267408676,1.02923731321789,0,1,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,MAIN_GROUPED_CONDITIONAL_JOINT,19350.8808619989,18.4962890950774,-7.5200272959893e-16,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,GROUPED_CONDITIONAL_ONLY,19306.3542671309,63.0228839631091,0.00230101126587256,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.8808619989,18.4962890950774,-7.5200272959893e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,LOCAL_FULL_DML_REFERENCE,19350.8808619989,18.4962890950919,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,CONVENTIONAL_DBF,19068.998085299,300.379065794928,0.0145669222352248,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
