scenario,data_split,feature_tags,noise_sigma,L,aperture_column_count,trial_id,method,K,oracle_Q,oracle_Kq,condition_source,eta_condition_deg,upstream_group_support_status,conditional_estimate_status,joint_refinement_status,method_estimate_status,method_status_scope,statistical_calibration_status,domain_id,domain_source,domain_bounds,domain_hash,truth_in_domain_flag,truth_on_search_grid_flag,grid_step_az_deg,grid_step_el_deg,az_hat_deg,el_hat_deg,score,rss,normalized_score_gap_to_local_full,az_rmse,el_rmse,pair_rmse,unconditional_penalized_pair_error,success_flag,wrong_local_peak_flag,convergence_flag,rank_Gphi_min,group_recovery_relative_error,cross_group_noise_correlation_max,monotonicity_violation_count,num_score_eval_stage4,num_score_eval_conditional,num_score_eval_joint,num_score_eval_total,num_svd_total,num_eig_total,num_candidate_manifold_build,num_iterations,num_multi_start,runtime_total,precompute_time_sec,online_time_sec,max_primary_array_bytes,registered_model_certified_flag,phase_factor,pass_flag
validation_azimuth_half_grid,VALIDATION,"azimuth_offgrid_half_step,same_elevation",0.003,4,65,1,MAIN_GROUPED_CONDITIONAL_JOINT,2,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,JOINT_REFINEMENT_CONVERGED,JOINT_REFINEMENT_CONVERGED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.6 8.2,10 10,19366.4146335756,1.04943583905333,1.12709932403839e-15,0.100000000000001,0,0.100000000000001,0.100000000000001,1,0,1,2,0.000324469255918709,0,0,3,21,19,43,97,4,41,1,1,0.0637455,0.0149163,0.0488292,299520,0,1,1
validation_azimuth_half_grid,VALIDATION,"azimuth_offgrid_half_step,same_elevation",0.003,4,65,1,GROUPED_CONDITIONAL_ONLY,2,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,NOT_RUN_BY_METHOD,GROUPED_CONDITIONAL_RETURNED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.6 8.2,10 10,19366.4146335756,1.04943583905333,1.12709932403839e-15,0.100000000000001,0,0.100000000000001,0.100000000000001,1,0,1,2,0.000324469255918709,0,0,3,21,0,24,57,3,21,0,1,0.0335273,0.0149163,0.018611,299520,0,1,1
validation_azimuth_half_grid,VALIDATION,"azimuth_offgrid_half_step,same_elevation",0.003,4,65,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,1,2,NOT_APPLICABLE_BASELINE,NaN,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_APPLICABLE_METHOD,JOINT_REFINEMENT_CONVERGED,JOINT_REFINEMENT_CONVERGED,METHOD_ONLY,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.8 8.4,10 10,19365.8162722137,1.64779720095248,3.08968579493076e-05,0.0999999999999996,0,0.0999999999999996,0.0999999999999996,1,0,1,NaN,0.000324469255918709,0,0,0,0,94,94,196,1,100,5,2,0.1449277,0.0083347,0.136593,299520,0,1,1
validation_azimuth_half_grid,VALIDATION,"azimuth_offgrid_half_step,same_elevation",0.003,4,65,1,LOCAL_FULL_DML_REFERENCE,2,1,2,NOT_APPLICABLE_REFERENCE,NaN,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_APPLICABLE_METHOD,NOT_RUN_BY_REFERENCE,LOCAL_FULL_REFERENCE_RETURNED,METHOD_ONLY,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.6 8.2,10 10,19366.4146335757,1.0494358390315,0,0.100000000000001,0,0.100000000000001,0.100000000000001,1,0,1,NaN,0.000324469255918709,0,0,0,0,210,210,231,1,21,0,1,0.0548653,0.0083347,0.0465306,299520,0,1,1
validation_azimuth_half_grid,VALIDATION,"azimuth_offgrid_half_step,same_elevation",0.003,4,65,1,CONVENTIONAL_DBF,2,1,2,NOT_APPLICABLE_BASELINE,NaN,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_APPLICABLE_METHOD,NOT_RUN_BY_METHOD,CONVENTIONAL_DBF_RETURNED,METHOD_ONLY,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,8 8,10 10.2,19066.9502375674,300.513831847235,0.015463078823533,0.3,0.141421356237309,0.33166247903554,0.632455532033676,0,0,1,NaN,0.000324469255918709,0,0,0,0,0,0,0,0,0,0,1,0.0088999,0.0083347,0.0005652,299520,0,1,1
validation_elevation_half_grid,VALIDATION,"elevation_offgrid_half_step,Q2",0.003,4,65,1,MAIN_GROUPED_CONDITIONAL_JOINT,2,2,1 1,ESTIMATED_ELEVATION,9.8 10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,JOINT_REFINEMENT_CONVERGED,JOINT_REFINEMENT_CONVERGED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.4 8.2,9.8 10,18616.9130634344,23.9602459984962,0.000179910042232695,0.2,0.0999999999999996,0.223606797749979,0.223606797749979,1,0,1,1,1.02898993405255,0.993622942971432,0,3,14,41,58,125,5,54,2,1,0.0755872,0.0140033,0.0615839,299520,0,1,1
validation_elevation_half_grid,VALIDATION,"elevation_offgrid_half_step,Q2",0.003,4,65,1,GROUPED_CONDITIONAL_ONLY,2,2,1 1,ESTIMATED_ELEVATION,9.8 10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,NOT_RUN_BY_METHOD,GROUPED_CONDITIONAL_RETURNED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.6 8.2,9.8 10,18600.3752740902,40.4980353426508,0.00106807092977809,0.14142135623731,0.0999999999999996,0.173205080756888,0.173205080756888,1,0,1,1,1.02898993405255,0.993622942971432,0,3,14,0,17,43,4,14,0,1,0.0241356,0.0140033,0.0101323,299520,0,1,1
validation_elevation_half_grid,VALIDATION,"elevation_offgrid_half_step,Q2",0.003,4,65,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,2,1 1,NOT_APPLICABLE_BASELINE,NaN NaN,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_APPLICABLE_METHOD,JOINT_REFINEMENT_CONVERGED,JOINT_REFINEMENT_CONVERGED,METHOD_ONLY,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.6 8.4,9.8 10.2,18620.2630357435,20.6102736893445,-3.90754824473558e-16,0,0.0999999999999996,0.0999999999999996,0.0999999999999996,1,0,1,NaN,1.02898993405255,0.993622942971432,0,0,0,82,82,164,1,80,4,2,0.1280731,0.0072323,0.1208408,299520,0,1,1
validation_elevation_half_grid,VALIDATION,"elevation_offgrid_half_step,Q2",0.003,4,65,1,LOCAL_FULL_DML_REFERENCE,2,2,1 1,NOT_APPLICABLE_REFERENCE,NaN NaN,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_APPLICABLE_METHOD,NOT_RUN_BY_REFERENCE,LOCAL_FULL_REFERENCE_RETURNED,METHOD_ONLY,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,7.6 8.4,9.8 10.2,18620.2630357435,20.6102736893517,0,0,0.0999999999999996,0.0999999999999996,0.0999999999999996,1,0,1,NaN,1.02898993405255,0.993622942971432,0,0,0,210,210,231,1,21,0,1,0.032057,0.0072323,0.0248247,299520,0,1,1
validation_elevation_half_grid,VALIDATION,"elevation_offgrid_half_step,Q2",0.003,4,65,1,CONVENTIONAL_DBF,2,2,1 1,NOT_APPLICABLE_BASELINE,NaN NaN,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_APPLICABLE_METHOD,NOT_RUN_BY_METHOD,CONVENTIONAL_DBF_RETURNED,METHOD_ONLY,NOT_CALIBRATED_STAGE5,STAGE5_COMMON_LOCAL_DOMAIN_V1,pre_registered_conventional_center_and_fixed_resolution_offsets,"[7.4,8.6]x[9.8,10.2]",e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,0,0.199999999999999,0.199999999999999,8 8,9.8 10,18088.1862830896,552.687026343254,0.0285751469585863,0.4,0.0999999999999996,0.412310562561766,0.632455532033676,0,0,1,NaN,1.02898993405255,0.993622942971432,0,0,0,0,0,0,0,0,0,1,0.0090424,0.0072323,0.0018101,299520,0,1,1
