data_split,method,num_trials,mean_score_calls,mean_svd_calls,mean_eig_calls,mean_candidate_manifold_builds,mean_iterations,mean_multi_start,mean_runtime_sec,mean_precompute_sec,mean_online_sec,max_primary_array_bytes,statistical_calibration_status,phase_factor
DESIGN,CONVENTIONAL_DBF,2,0,0,0,0,0,1,0.009528,0.0083692,0.0011588,299520,NOT_CALIBRATED_STAGE5,1
DESIGN,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,89,181,1,90,4.5,2,0.1314914,0.0083692,0.1231222,299520,NOT_CALIBRATED_STAGE5,1
DESIGN,GROUPED_CONDITIONAL_ONLY,2,20.5,50,3.5,17.5,0,1,0.05478015,0.01950345,0.0352767,299520,NOT_CALIBRATED_STAGE5,1
DESIGN,LOCAL_FULL_DML_REFERENCE,2,210,231,1,21,0,1,0.04200305,0.0083692,0.03363385,299520,NOT_CALIBRATED_STAGE5,1
DESIGN,MAIN_GROUPED_CONDITIONAL_JOINT,2,40.5,91,4.5,37.5,1,1,0.08345625,0.01950345,0.0639528,299520,NOT_CALIBRATED_STAGE5,1
NORMAL_HOLDOUT,CONVENTIONAL_DBF,205,0,0,0,0,0,1,0.00731969804878049,0.00715210097560976,0.000167597073170732,299520,NOT_CALIBRATED_STAGE5,1
NORMAL_HOLDOUT,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,205,120.536585365854,242.048780487805,1,119.512195121951,5.97560975609756,2,0.130714279512195,0.00715210097560976,0.123562178536585,299520,NOT_CALIBRATED_STAGE5,1
NORMAL_HOLDOUT,GROUPED_CONDITIONAL_ONLY,205,23.8292682926829,56.6585365853659,3.02439024390244,20.8292682926829,0,1,0.0209302092682927,0.01150124,0.00942896926829268,299520,NOT_CALIBRATED_STAGE5,1
NORMAL_HOLDOUT,LOCAL_FULL_DML_REFERENCE,205,210,231,1,21,0,1,0.0315928673170732,0.00715210097560976,0.0244407663414634,299520,NOT_CALIBRATED_STAGE5,1
NORMAL_HOLDOUT,MAIN_GROUPED_CONDITIONAL_JOINT,205,63.3658536585366,136.707317073171,4.02439024390244,60.3414634146341,1.97560975609756,1,0.0614453502439024,0.01150124,0.0499441102439024,299520,NOT_CALIBRATED_STAGE5,1
STRESS_HOLDOUT,CONVENTIONAL_DBF,250,0,0,0,0,0,1,0.0076743424,0.00751393,0.0001604124,299520,NOT_CALIBRATED_STAGE5,1
STRESS_HOLDOUT,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,250,75.124,157.684,1,80.56,4.028,2,0.0896493244,0.00751393,0.0821353944,299520,NOT_CALIBRATED_STAGE5,1
STRESS_HOLDOUT,GROUPED_CONDITIONAL_ONLY,250,23.58,56.16,3.06,20.58,0,1,0.0208006548,0.011805278,0.0089953768,299520,NOT_CALIBRATED_STAGE5,1
STRESS_HOLDOUT,LOCAL_FULL_DML_REFERENCE,250,210,231,1,21,0,1,0.0312764768,0.00751393,0.0237625468,299520,NOT_CALIBRATED_STAGE5,1
STRESS_HOLDOUT,MAIN_GROUPED_CONDITIONAL_JOINT,250,43.8,98.58,4.06,41.78,1.06,1,0.0423465888,0.011805278,0.0305413108,299520,NOT_CALIBRATED_STAGE5,1
VALIDATION,CONVENTIONAL_DBF,4,0,0,0,0,0,1,0.008037875,0.00732435,0.000713525,299520,NOT_CALIBRATED_STAGE5,1
VALIDATION,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,4,78.5,160.5,1,80,4,2,0.1163402,0.00732435,0.10901585,299520,NOT_CALIBRATED_STAGE5,1
VALIDATION,GROUPED_CONDITIONAL_ONLY,4,20.5,50,3.5,17.5,0,1,0.0247271,0.0130356,0.0116915,299520,NOT_CALIBRATED_STAGE5,1
VALIDATION,LOCAL_FULL_DML_REFERENCE,4,210,231,1,21,0,1,0.03726185,0.00732435,0.0299375,299520,NOT_CALIBRATED_STAGE5,1
VALIDATION,MAIN_GROUPED_CONDITIONAL_JOINT,4,55.5,121,4.5,52.5,1.75,1,0.071469825,0.0130356,0.058434225,299520,NOT_CALIBRATED_STAGE5,1
