case_name,scenario_name,policy_name,truth_az1,truth_az2,truth_el1,truth_el2,fixed_az1,fixed_az2,fixed_el1,fixed_el2,c05_direct_az1,c05_direct_az2,c05_direct_el1,c05_direct_el2,c05_cached_az1,c05_cached_az2,c05_cached_el1,c05_cached_el2,fixed_num_pairs,c05_num_pairs,candidate_ratio,adaptive_topK,az_window_scale,el_window_scale,cache_miss_count,fallback_used,runtime_fixed,runtime_c05_direct,runtime_c05_cached,rmse_fixed,rmse_c05_direct,rmse_c05_cached,score_fixed,score_c05_direct,score_c05_cached,confidence,same_estimate_direct_cached,same_score_direct_cached,source_corr_empirical
easy_noncoherent,easy_noncoherent,EASY,-0.635,0.635,9.975,10.645,-0.62,0.66,10,10.72,-0.652,0.628,10.012,10.612,-0.652,0.628,10.012,10.612,18612,9729,0.522727272727273,1,0.6,0.6,0,0,NaN,0.298644,0.2572468,0.0595818764390646,0.0373898381916808,0.0373898381916808,216391.478454406,216589.664587449,216589.664587449,high,1,1,0.0689746340530481
strong_coherent,strong_coherent,EASY,-0.635,0.635,10.125,10.495,-0.62,0.66,10.18,10.54,-0.652,0.628,10.132,10.492,-0.652,0.628,10.132,10.492,19998,9729,0.486498649864986,1,0.6,0.6,0,0,NaN,0.1208574,0.1782951,0.0543139024560002,0.0140712472794702,0.0140712472794702,200013.915119089,200136.980526299,200136.980526299,high,1,1,0.990489868557474
low_snr_hard,low_snr_hard,NORMAL,-0.415,0.415,10.125,10.495,-0.46,0.58,10.12,10.6,-0.46,0.58,10.12,10.6,-0.46,0.58,10.12,10.6,23133,23133,1,3,1,1,0,0,NaN,0.2178115,0.2892551,0.141950695665783,0.141950695665783,0.141950695665783,99542.2840495634,99542.2840495634,99542.2840495634,medium,1,1,1
