metric,value,unit,pass_flag,phase_factor
active_phase_factor,1,dimensionless,1,1
array_roundtrip_max_relative_error,0,relative,1,1
array_permutation_max_relative_error,0,relative,1,1
coordinate_mapping_max_error,0,relative,1,1
random_complex_sequential_direct_error,1.70482232898902e-15,relative,1,1
single_target_sequential_direct_error,1.83958909055317e-15,relative,1,1
two_target_sequential_direct_error,1.60909593287306e-15,relative,1,1
single_target_physical_manifold_error,2.50329987052017e-15,relative,1,1
two_target_physical_manifold_error,1.6330137852858e-15,relative,1,1
factorized_full_manifold_max_error,9.35331346110274e-15,relative,1,1
factorized_projected_manifold_max_error,5.37444184159656e-14,relative,1,1
conditional_azimuth_formula_max_error,6.7066731638288e-15,relative,1,1
conditional_azimuth_min_nonzero_change,1.49855227015603,relative,1,1
receive_snapshot_factor1_residual,2.66785079466255e-14,relative,1,1
receive_snapshot_legacy_factor2_residual,0.999993851479604,relative,1,1
legacy_dependency_violation_count,0,count,1,1
noise_sequential_direct_max_error,1.6045896560629e-15,relative,1,1
noise_covariance_final_relative_error,0.0219468397993034,relative,1,1
noise_covariance_convergence_flag,1,boolean,1,1
noise_monte_carlo_samples,20000,count,1,1
dml_score_calls,0,count,1,1
svd_calls,0,count,1,1
multi_start_runs,0,count,1,1
validation_runtime_sec,1.7938805,second,1,1
overall_pass_flag,1,boolean,1,1
