measurement_config_id,noise_profile_id,model_key,fixed_measurement_hash,subset_id,B_el,B_az,B_out,whitening_rank,noise_factorization_hash,array_geometry_hash,phase_factor
PRIMARY_RECT_E14_A31,WHITE,PRIMARY_RECT_E14_A31__WHITE,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,RECT_E14_A31,3,5,15,15,56b1a9ec000f3a99d29293e509bd7059a6c747b9b00ffb59d7d05a2c5e2ec6a4,dcd671f6ef06f8cfe5bd845931fe3d536f68097846bd74faa252d0d7ee9f5dd4,1
PRIMARY_RECT_E14_A31,STAGE5_TOEPLITZ_CORRELATED,PRIMARY_RECT_E14_A31__STAGE5_TOEPLITZ_CORRELATED,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,RECT_E14_A31,3,5,15,15,7fce7b1b7df54df7377b5ea69ba153255e2a7b6a4a62484df1c2b3095109b3a9,dcd671f6ef06f8cfe5bd845931fe3d536f68097846bd74faa252d0d7ee9f5dd4,1
SENSITIVITY_FULL_PARENT_5X5,WHITE,SENSITIVITY_FULL_PARENT_5X5__WHITE,3debcabc9fa80ddcdaab1a24f335a307a57d1eeea83a62847935af79e2d73f17,RECT_E31_A31,5,5,25,25,56b1a9ec000f3a99d29293e509bd7059a6c747b9b00ffb59d7d05a2c5e2ec6a4,dcd671f6ef06f8cfe5bd845931fe3d536f68097846bd74faa252d0d7ee9f5dd4,1
SENSITIVITY_FULL_PARENT_5X5,STAGE5_TOEPLITZ_CORRELATED,SENSITIVITY_FULL_PARENT_5X5__STAGE5_TOEPLITZ_CORRELATED,600b6c19884e04aa2ec6e9eaa6e9754bb79a8fd21e7c6e4becdeeda0e74efdd0,RECT_E31_A31,5,5,25,25,7fce7b1b7df54df7377b5ea69ba153255e2a7b6a4a62484df1c2b3095109b3a9,dcd671f6ef06f8cfe5bd845931fe3d536f68097846bd74faa252d0d7ee9f5dd4,1
