stage8_stable_code_identity_hash,stage8_plan_hash,stage8_calibration_plan_hash,measurement_registry_hash,measurement_config_id,q_global,q_global_hex,alpha,alpha_hex,Bboot_per_cell,cell_count,noise_profile_count,quantile_rule,threshold_policy,calibration_hash,source_identity,threshold_status,threshold_contract_version,threshold_artifact_hash
fa28f6f202c37dc800b801c47eb4e0f9381a3fc46d1fdc230e145e49d3a215bf,7dc1e4c361d22ec52ec255381e3cea3ce176a8877b4cfe56f12d25564749ca5d,5cf12356433c9680cc3f1ca783667de1910b8135e76141d0fc72271fbe596760,d0eaebc931b1cf4cb3b25865f7127789bb81d97151405fd5f0db255e0221e5d0,PRIMARY_RECT_E14_A31,38.430562169212443,4043371ca941d4c5,0.05,3fa999999999999a,199,150,2,TYPE1_ORDER_STATISTIC,ONE_GLOBAL_THRESHOLD_PER_FIXED_MEASUREMENT_CONFIG,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,fa28f6f202c37dc800b801c47eb4e0f9381a3fc46d1fdc230e145e49d3a215bf,LOCKED_BOOTSTRAP_THRESHOLD,STAGE8_LOCKED_THRESHOLD_ARTIFACT_V3,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11
fa28f6f202c37dc800b801c47eb4e0f9381a3fc46d1fdc230e145e49d3a215bf,7dc1e4c361d22ec52ec255381e3cea3ce176a8877b4cfe56f12d25564749ca5d,5cf12356433c9680cc3f1ca783667de1910b8135e76141d0fc72271fbe596760,d0eaebc931b1cf4cb3b25865f7127789bb81d97151405fd5f0db255e0221e5d0,SENSITIVITY_FULL_PARENT_5X5,38.484033510562568,40433df4cf610464,0.05,3fa999999999999a,199,150,2,TYPE1_ORDER_STATISTIC,ONE_GLOBAL_THRESHOLD_PER_FIXED_MEASUREMENT_CONFIG,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa28f6f202c37dc800b801c47eb4e0f9381a3fc46d1fdc230e145e49d3a215bf,LOCKED_BOOTSTRAP_THRESHOLD,STAGE8_LOCKED_THRESHOLD_ARTIFACT_V3,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185
