center_az,actual_center_az,selected_center_column,scenario_name,trial_id,seed,truth_az1,truth_az2,truth_el1,truth_el2,cached_status,direct_status,cached_success,direct_success,cached_rmse,direct_rmse,same_estimate_flag,same_policy_flag,same_score_flag,az_diff_max,el_diff_max,score_diff_abs,score_diff_rel,cached_policy_name,direct_policy_name,cached_confidence,direct_confidence,cached_boundary_flag,direct_boundary_flag,cached_num_pairs,direct_num_pairs,cached_cache_miss_count,cached_fallback_used,cached_runtime_total_sec,direct_runtime_total_sec,pass_flag
0,0,1,hard_phase,2,20363611,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0508533,0.1233524,1
0,0,1,hard_phase,3,20363612,-0.415,0.415,10.125,10.495,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0440864,0.1163113,1
0,0,1,hard_phase,4,20363613,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0477594,0.1381195,1
0,0,1,hard_phase,5,20363614,-0.415,0.415,10.125,10.495,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0673506,0.1288599,1
0,0,1,hard_phase,6,20363615,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0442091,0.105302,1
0,0,1,hard_phase,7,20363616,-0.415,0.415,10.125,10.495,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.044138,0.1244372,1
0,0,1,hard_phase,8,20363617,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0443756,0.1360394,1
0,0,1,hard_phase,9,20363618,-0.415,0.415,10.125,10.495,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0434029,0.1151751,1
0,0,1,hard_phase,10,20363619,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.049042,0.1261651,1
0,0,1,weak_secondary,1,20364610,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0873046,0.1911281,1
0,0,1,weak_secondary,2,20364611,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0446251,0.1129746,1
0,0,1,weak_secondary,3,20364612,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0826467,0.1761324,1
0,0,1,weak_secondary,4,20364613,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0433968,0.1289724,1
0,0,1,weak_secondary,5,20364614,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1017915,0.1860114,1
0,0,1,weak_secondary,6,20364615,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0369003,0.0997097,1
0,0,1,weak_secondary,7,20364616,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0898591,0.1896831,1
