scenario_name,center_az,trial_id,repeat_id,direct_runtime_total_sec,cached_runtime_total_sec,runtime_reduction_ratio,direct_num_pairs,cached_num_pairs,same_estimate_flag,same_policy_flag,cache_miss_count
easy_noncoherent,8,10,1,0.1110891,0.0460288,0.585658718992232,9729,9729,1,1,0
strong_coherent,8,1,1,0.1348002,0.0559241,0.58513340484658,9729,9729,1,1,0
strong_coherent,8,2,1,0.2985565,0.3056624,-0.0238008551145261,9729,9729,1,1,0
strong_coherent,8,3,1,0.3248975,0.1361579,0.580920444140075,9729,9729,1,1,0
strong_coherent,8,4,1,0.1784766,0.0700262,0.607644923760314,9729,9729,1,1,0
strong_coherent,8,5,1,0.1319133,0.0529911,0.598288421258508,9729,9729,1,1,0
strong_coherent,8,6,1,0.1166757,0.0498332,0.572891356126426,9729,9729,1,1,0
strong_coherent,8,7,1,0.1207266,0.0595985,0.506334975059349,9729,9729,1,1,0
strong_coherent,8,8,1,0.1216387,0.0589604,0.515282553989807,9729,9729,1,1,0
strong_coherent,8,9,1,0.1498341,0.0698736,0.533660228212403,9729,9729,1,1,0
strong_coherent,8,10,1,0.1428838,0.0404471,0.716923122145408,9729,9729,1,1,0
hard_phase,8,1,1,0.1166849,0.0397586,0.659265251973477,9729,9729,1,1,0
hard_phase,8,2,1,0.1021783,0.0525417,0.485784163565062,9729,9729,1,1,0
hard_phase,8,3,1,0.1421625,0.0536328,0.622735953574255,9729,9729,1,1,0
hard_phase,8,4,1,0.123522,0.0474114,0.616170398795356,9729,9729,1,1,0
hard_phase,8,5,1,0.1177327,0.0453647,0.614680543298506,9729,9729,1,1,0
hard_phase,8,6,1,0.1423075,0.0538358,0.621693867153875,9729,9729,1,1,0
hard_phase,8,7,1,0.1193455,0.0465172,0.610230800491011,9729,9729,1,1,0
hard_phase,8,8,1,0.1204059,0.0428627,0.644014952755637,9729,9729,1,1,0
hard_phase,8,9,1,0.1119172,0.0412883,0.631081728277691,9729,9729,1,1,0
hard_phase,8,10,1,0.111374,0.0453597,0.592726309551601,9729,9729,1,1,0
weak_secondary,8,1,1,0.2156757,0.1150037,0.466774884699574,23133,23133,1,1,0
weak_secondary,8,2,1,0.1437886,0.0509564,0.645615855498975,9729,9729,1,1,0
weak_secondary,8,3,1,0.2078948,0.0979717,0.528743864685408,23133,23133,1,1,0
weak_secondary,8,4,1,0.1182015,0.0501057,0.5760992880801,9729,9729,1,1,0
weak_secondary,8,5,1,0.194808,0.114828,0.410558087963533,23133,23133,1,1,0
weak_secondary,8,6,1,0.142879,0.0606826,0.575286781122488,9729,9729,1,1,0
weak_secondary,8,7,1,0.2230384,0.1183284,0.46947072791053,23133,23133,1,1,0
weak_secondary,8,8,1,0.1266644,0.0493869,0.6100964438311,9729,9729,1,1,0
weak_secondary,8,9,1,0.2235983,0.1014736,0.546179018355685,23133,23133,1,1,0
weak_secondary,8,10,1,0.1280648,0.0505285,0.605445836795123,9729,9729,1,1,0
low_snr_hard,8,1,1,0.198476,0.0827776,0.582933956750438,23133,23133,1,1,0
low_snr_hard,8,2,1,0.1230701,0.0539486,0.561643323601752,9729,9729,1,1,0
low_snr_hard,8,3,1,0.1993568,0.0912427,0.542314583701183,23133,23133,1,1,0
low_snr_hard,8,4,1,0.1374943,0.0605208,0.559830480245363,9729,9729,1,1,0
low_snr_hard,8,5,1,0.2110164,0.1049902,0.502454785504823,23133,23133,1,1,0
low_snr_hard,8,6,1,0.1342999,0.0522592,0.610876850987975,9729,9729,1,1,0
low_snr_hard,8,7,1,0.2114286,0.1154586,0.453912100822689,23133,23133,1,1,0
